Fyers_Symbol,Stock Name,Company Name,Sector,Basic Industry,Market Cap(Cr.),Stock Price,No OF  SHARE,Circuit Limit
NSE:SHAILY-EQ,SHAILY,Shaily Engineering Plastics Limited,Chemicals,Chemicals-Plastics,8657,1885,45925729.44,20
NSE:INDIASHLTR-EQ,INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services,Housing Finance,8734,803.25,108733271.1,20
NSE:JYOTHYLAB-EQ,JYOTHYLAB,Jyothy Labs Limited,FMCG,Personal Care,8755,238.34,367332382.3,20
NSE:ORKLAINDIA-EQ,ORKLAINDIA,Orkla India Limited,FMCG,Food Products,8771,639.15,137229132.4,20
NSE:KPIGREEN-EQ,KPIGREEN,KPI Green Energy Limited,Power,Energy-Alternative,8847,448.25,197367540.4,20
NSE:CARTRADE-EQ,CARTRADE,Cartrade Tech Limited,Consumer Services,E- Commerce,8900,1858,47900968.78,20
NSE:TTML-EQ,TTML,Tata Teleservices (Maharashtra) Limited,Telecommunication,Telecom - Cellular & Fixed line services,8915,45.68,1951619965,20
NSE:BANCOINDIA-EQ,BANCOINDIA,Banco Products (I) Limited,Auto,Auto Ancilaries,8954,624.95,143275462,20
NSE:STARCEMENT-EQ,STARCEMENT,Star Cement Limited,Construction,Cement,8988,222.36,404209390.2,20
NSE:TSFINV-EQ,TSFINV,Sundaram Finance Holdings Limited,Financial Services,NBFC,9004,405.4,222101628,20
NSE:PNGJL-EQ,PNGJL,P N Gadgil Jewellers Limited,Consumer Durables,Jewellery,9070,667.65,135849621.8,10
NSE:VIYASH-EQ,VIYASH,Sequent Scientific Limited,Healthcare,Medical-Diversified,9071,208.25,435582232.9,20
NSE:LEMONTREE-EQ,LEMONTREE,Lemon Tree Hotels Limited,Consumer Services,Hotels,9073,114.55,792055870.8,20
NSE:PVRINOX-EQ,PVRINOX,PVR INOX Limited,Media Entertainment & Publication,Film Production & Distribution,9208,937.65,98202954.19,20
NSE:STAR-EQ,STAR,Strides Pharma Science Limited,Healthcare,Pharmaceuticals,9219,1000.25,92166958.26,20
NSE:GRWRHITECH-EQ,GRWRHITECH,Garware Hi-Tech Films Limited,Chemicals,Chemicals-Plastics,9247,3985.6,23201023.69,20
NSE:ELECON-EQ,ELECON,Elecon Engineering Company Limited,Capital Goods,Industrial Products & Manufacturing,9250,412.75,224106602.1,20
NSE:EUREKAFORB-EQ,EUREKAFORB,Eureka Forbes Limited,Consumer Durables,Household Appliances,9283,481.6,192753322.3,20
NSE:PCJEWELLER-EQ,PCJEWELLER,PC Jeweller Limited,Consumer Durables,Jewellery,9302,9.58,9709812109,20
NSE:KTKBANK-EQ,KTKBANK,The Karnataka Bank Limited,Financial Services,Private Banks,9307,246.23,377979937.5,20
NSE:QPOWER-EQ,QPOWER,Quality Power Electrical Equipments Limited,Capital Goods,Electrical - Power Equipment,9345,1206.05,77484349.74,20
NSE:JAYNECOIND-EQ,JAYNECOIND,Jayaswal Neco Industries Limited,Metals & Mining,Iron & Steel,9361,96.23,972773563.3,20
NSE:PARKHOSPS-EQ,PARKHOSPS,Park Medi World Limited,Healthcare,Hospitals,9396,216.47,434055527.3,10
NSE:LLOYDSENT-EQ,LLOYDSENT,Lloyds Enterprises Limited,Metals & Mining,Trading - Metals,9477,63.44,1493852459,20
NSE:BBOX-EQ,BBOX,Black Box Limited,Information Technology,Software Services,9533,541.25,176129330.3,20
NSE:CELLO-EQ,CELLO,Cello World Limited,Consumer Durables,Household Appliances,9543,431.55,221133124.8,20
NSE:TIMETECHNO-EQ,TIMETECHNO,Time Technoplast Limited,Chemicals,Chemicals-Plastics,9636,195.39,493167511.1,20
NSE:TARIL-EQ,TARIL,Transformers And Rectifiers (India) Limited,Capital Goods,Transformers,9668,322.3,299968973,20
NSE:INTELLECT-EQ,INTELLECT,Intellect Design Arena Limited,Financial Services,Financial Services-Specialty,9699,694.55,139644374.1,20
NSE:RKFORGE-EQ,RKFORGE,Ramkrishna Forgings Limited,Metals & Mining,Iron & Steel,9731,535.15,181836868.2,20
NSE:BATAINDIA-EQ,BATAINDIA,Bata India Limited,Consumer Durables,Footwear,9743,757.35,128645936.5,20
NSE:IIFLCAPS-EQ,IIFLCAPS,IIFL Capital Services Limited,Financial Services,Investment Banking & Broking,9760,313.44,311383358.9,20
NSE:METROPOLIS-EQ,METROPOLIS,Metropolis Healthcare Limited,Healthcare,Medical Diagnostics,9773,471.7,207186771.3,20
NSE:BALRAMCHIN-EQ,BALRAMCHIN,Balrampur Chini Mills Limited,FMCG,Sugar,9825,486,202160493.8,20
NSE:CORONA-EQ,CORONA,CORONA Remedies Limited,Healthcare,Pharmaceuticals,9909,1619.5,61185551.1,20
NSE:TITAGARH-EQ,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,Railways,9983,741.05,134714256.8,20
NSE:SHARDACROP-EQ,SHARDACROP,Sharda Cropchem Limited,Chemicals,Agro chemicals,9996,1107.85,90228821.59,20
NSE:OLECTRA-EQ,OLECTRA,Olectra Greentech Limited,Auto,Auto Manufacturers,10061,1225.15,82120556.67,20
NSE:NAZARA-EQ,NAZARA,Nazara Technologies Limited,Information Technology,Software Services,10096,273.34,369356845,20
NSE:APOLLO-EQ,APOLLO,Apollo Micro Systems Limited,Capital Goods,Aerospace & Defense,10102,282.9,357087310,20
NSE:NCC-EQ,NCC,NCC Limited,Construction,Civil Construction,10115,161.26,627247922.6,20
NSE:SOUTHBANK-EQ,SOUTHBANK,The South Indian Bank Limited,Financial Services,Private Banks,10182,38.93,2615463653,20
NSE:ARVIND-EQ,ARVIND,Arvind Limited,Textiles,Textiles,10202,386.75,263787976.7,20
NSE:MMTC-EQ,MMTC,MMTC Limited,Metals & Mining,Mining/Minerals,10249,68.32,1500146370,20
NSE:VOLTAMP-EQ,VOLTAMP,Voltamp Transformers Limited,Capital Goods,Transformers,10297,10145,10149827.5,20
NSE:ASTRAMICRO-EQ,ASTRAMICRO,Astra Microwave Products Limited,Capital Goods,Aerospace & Defense,10382,1093.45,94947185.51,20
NSE:MEDPLUS-EQ,MEDPLUS,Medplus Health Services Limited,Healthcare,Pharmaceuticals,10514,877.8,119776714.5,20
NSE:VIJAYA-EQ,VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare,Medical Diagnostics,10533,1022.55,103007187.9,20
NSE:ATLANTAELE-EQ,ATLANTAELE,Atlanta Electricals Limited,Capital Goods,Electrical - Power Equipment,10577,1375.7,76884495.17,10
NSE:JUBLINGREA-EQ,JUBLINGREA,Jubilant Ingrevia Limited,Diversified,Diversified Operations,10595,665.2,159275405.9,20
NSE:SANDUMA-EQ,SANDUMA,Sandur Manganese & Iron Ores Limited,Metals & Mining,Mining/Minerals,10612,218.47,485741749.4,20
NSE:BBTC-EQ,BBTC,Bombay Burmah Trading Corporation Limited,FMCG,Food Products,10642,1526.4,69719601.68,20
NSE:RITES-EQ,RITES,RITES Limited,Capital Goods,Railways,10669,221.95,480693850,20
NSE:CYIENT-EQ,CYIENT,Cyient Limited,Information Technology,Software Services,10689,962.3,111077626.5,20
NSE:AAVAS-EQ,AAVAS,Aavas Financiers Limited,Financial Services,Housing Finance,10702,1347.9,79397581.42,20
NSE:SBFC-EQ,SBFC,SBFC Finance Limited,Financial Services,NBFC,10752,97.35,1104468413,20
NSE:RAILTEL-EQ,RAILTEL,Railtel Corporation Of India Limited,Telecommunication,Railways,10758,335.29,320856571.9,20
NSE:MANYAVAR-EQ,MANYAVAR,Vedant Fashions Limited,Textiles,Apparels,10787,442.55,243746469.3,20
NSE:TMB-EQ,TMB,Tamilnad Mercantile Bank Limited,Financial Services,Private Banks,10820,683.75,158244972.6,20
NSE:FINPIPE-EQ,FINPIPE,Finolex Industries Limited,Construction,Construction Products Miscallaneous,10832,174.59,620424995.7,20
NSE:BSOFT-EQ,BSOFT,BIRLASOFT LIMITED,Information Technology,Software Services,10921,390.7,279523931.4,20
NSE:ACE-EQ,ACE,Action Construction Equipment Limited,Capital Goods,Industrial Products & Manufacturing,10930,917.05,119186522,20
NSE:SWANCORP-EQ,SWANCORP,Swan Energy Limited,Textiles,Textiles,11104,354.85,312920952.5,20
NSE:NUVOCO-EQ,NUVOCO,Nuvoco Vistas Corporation Limited,Construction,Cement,11114,311.4,356904303.1,20
NSE:CEMPRO-EQ,CEMPRO,Cemindia Projects Limited,Construction,Civil Construction,11116,648.25,171477053.6,20
NSE:MGL-EQ,MGL,Mahanagar Gas Limited,"Oil, Gas & Consumable fuels",Gas Distribution,11121,1125.75,98787475.02,20
NSE:PCBL-EQ,PCBL,PCBL Chemical Limited,Chemicals,Chemicals Specialty,11220,285.41,393118671.4,20
NSE:HONASA-EQ,HONASA,Honasa Consumer Limited,FMCG,Personal Care,11236,345.3,325398204.5,20
NSE:SIGNATURE-EQ,SIGNATURE,Signatureglobal (India) Limited,Realty,Construction Residential & Commercial,11258,801.25,140505460.2,20
NSE:EDELWEISS-EQ,EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Finance & Investment,11272,119.06,946749538,20
NSE:WHIRLPOOL-EQ,WHIRLPOOL,Whirlpool of India Limited,Consumer Durables,Household Appliances,11290,889.8,126882445.5,20
NSE:BLACKBUCK-EQ,BLACKBUCK,Zinka Logistics Solutions Limited,Services,Logistics,11298,623.4,181231953.8,20
NSE:CONCORDBIO-EQ,CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology,11305,1081.7,104511417.2,20
NSE:PRUDENT-EQ,PRUDENT,Prudent Corporate Advisory Services Limited,Financial Services,Finance & Investment,11391,2752,41391715.12,20
NSE:UJJIVANSFB-EQ,UJJIVANSFB,Ujjivan Small Finance Bank Limited,Financial Services,Private Banks,11418,58.73,1944151200,20
NSE:AEQUS-EQ,AEQUS,Aequs Limited,Capital Goods,Industrial Products & Manufacturing,11470,171.06,670524962,20
NSE:CANFINHOME-EQ,CANFINHOME,Can Fin Homes Limited,Financial Services,Housing Finance,11569,868.7,133176010.1,20
NSE:TI-EQ,TI,Tilaknagar Industries Limited,FMCG,Breweries & Distilleries,11624,470,247319148.9,20
NSE:WAAREERTL-EQ,WAAREERTL,Waaree Renewable Technologies Limited,Power,Energy-Alternative,11657,1116.1,104444046.2,20
NSE:SKFINDUS-EQ,SKFINDUS,SKF India (Industrial) Limited,Capital Goods,Industrial Products & Manufacturing,11719,2358.4,49690468.11,20
NSE:INDGN-EQ,INDGN,Indegene Limited,Healthcare,Healthcare Research Analytics & Technology,11746,487.4,240993024.2,20
NSE:HOMEFIRST-EQ,HOMEFIRST,Home First Finance Company India Limited,Financial Services,Housing Finance,11764,1127.65,104323149.9,20
NSE:GODREJAGRO-EQ,GODREJAGRO,Godrej Agrovet Limited,FMCG,Food Products,11855,615.75,192529435.6,20
NSE:RPOWER-EQ,RPOWER,Reliance Power Limited,Power,Power Generation & Distribution,11857,28.68,4134239888,20
NSE:WELSPUNLIV-EQ,WELSPUNLIV,Welspun Living Limited,Textiles,Textiles,12027,125.42,958937968.4,20
NSE:GRAVITA-EQ,GRAVITA,Gravita India Limited,Metals & Mining,Mining/Minerals,12113,1640.8,73823744.51,20
NSE:IEX-EQ,IEX,Indian Energy Exchange Limited,Financial Services,Financial Services-Specialty,12120,135.81,892423238.3,No Band
NSE:HEG-EQ,HEG,HEG Limited,Capital Goods,Electrical - Power Equipment,12210,633,192890995.3,20
NSE:JWL-EQ,JWL,Jupiter Wagons Limited,Capital Goods,Railways,12230,286.23,427278761.8,20
NSE:LUMAXTECH-EQ,LUMAXTECH,Lumax Auto Technologies Limited,Auto,Auto Ancilaries,12241,1794.9,68198785.45,20
NSE:BLS-EQ,BLS,BLS International Services Limited,Services,Diversified Commercial Services,12243,296.85,412430520.5,20
NSE:PRIVISCL-EQ,PRIVISCL,Privi Speciality Chemicals Limited,Chemicals,Chemicals Specialty,12248,3133.1,39092272.83,20
NSE:AFCONS-EQ,AFCONS,Afcons Infrastructure Limited,Construction,Civil Construction,12272,333.6,367865707.4,20
NSE:AZAD-EQ,AZAD,Azad Engineering Limited,Metals & Mining,Iron & Steel,12298,1904.3,64580160.69,20
NSE:APTUS-EQ,APTUS,Aptus Value Housing Finance India Limited,Financial Services,Housing Finance,12334,246.37,500629135,20
NSE:JKTYRE-EQ,JKTYRE,JK Tyre & Industries Limited,Auto,Tyres & Rubber Products,12350,428.4,288281979.5,20
NSE:NSLNISP-EQ,NSLNISP,NMDC Steel Limited,Metals & Mining,Mining/Minerals,12475,42.58,2929779239,20
NSE:RAINBOW-EQ,RAINBOW,Rainbow Childrens Medicare Limited,Healthcare,Hospitals,12679,1248.4,101561999.4,20
NSE:BLUEDART-EQ,BLUEDART,Blue Dart Express Limited,Services,Logistics,12720,5391,23594880.36,20
NSE:MINDACORP-EQ,MINDACORP,Minda Corporation Limited,Auto,Auto Ancilaries,12763,532.8,239545795.8,20
NSE:STLTECH-EQ,STLTECH,Sterlite Technologies Limited,Information Technology,Computer-Networking,12876,263.08,489432872.1,5
NSE:ABLBL-EQ,ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Services,Retail-Department Stores,12900,105.84,1218820862,20
NSE:INDIACEM-EQ,INDIACEM,The India Cements Limited,Construction,Cement,12907,415.6,310563041.4,20
NSE:PARADEEP-EQ,PARADEEP,Paradeep Phosphates Limited,Chemicals,Agro chemicals,12910,124.33,1038365640,20
NSE:INDIAMART-EQ,INDIAMART,Indiamart Intermesh Limited,Consumer Services,E- Commerce,13047,2170.9,60099497.9,20
NSE:TEGA-EQ,TEGA,Tega Industries Limited,Capital Goods,Industrial Products & Manufacturing,13079,1738,75253164.56,20
NSE:THANGAMAYL-EQ,THANGAMAYL,Thangamayil Jewellery Limited,Consumer Durables,Jewellery,13088,4210.6,31083456.04,20
NSE:ALIVUS-EQ,ALIVUS,Alivus Life Sciences Limited,Healthcare,Pharmaceuticals,13104,1069.65,122507362.2,20
NSE:JPPOWER-EQ,JPPOWER,Jaiprakash Power Ventures Limited,Power,Energy-Alternative,13131,19.2,6839062500,20
NSE:JMFINANCIL-EQ,JMFINANCIL,JM Financial Limited,Financial Services,Finance & Investment,13136,137.39,956110342.8,20
NSE:FIRSTCRY-EQ,FIRSTCRY,Brainbees Solutions Limited,Consumer Services,E- Commerce,13149,251.86,522075756.4,20
NSE:GRAPHITE-EQ,GRAPHITE,Graphite India Limited,Capital Goods,Electrical - Power Equipment,13258,679.2,195200235.6,20
NSE:DEVYANI-EQ,DEVYANI,Devyani International Limited,Consumer Services,Restaurants,13258,107.7,1231012071,20
NSE:UTIAMC-EQ,UTIAMC,UTI Asset Management Company Limited,Financial Services,Asset Management,13291,1034.8,128440278.3,20
NSE:TRIDENT-EQ,TRIDENT,Trident Limited,Textiles,Textiles,13310,26.12,5095712098,20
NSE:CAPLIPOINT-EQ,CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Pharmaceuticals,13449,1770.9,75944435.03,20
NSE:INOXINDIA-EQ,INOXINDIA,INOX India Limited,Capital Goods,Industrial Products & Manufacturing,13531,1491.7,90708587.52,20
NSE:ENGINERSIN-EQ,ENGINERSIN,Engineers India Limited,Services,Diversified Commercial Services,13579,241.8,561579818,20
NSE:USHAMART-EQ,USHAMART,Usha Martin Limited,Metals & Mining,Iron & Steel,13701,448.8,305280748.7,20
NSE:ZENSARTECH-EQ,ZENSARTECH,Zensar Technologies Limited,Information Technology,Software Services,13706,602.65,227428855.9,20
NSE:CUPID-EQ,CUPID,Cupid Limited,FMCG,Personal Care,13883,103.16,1345773556,20
NSE:FIVESTAR-EQ,FIVESTAR,Five-Star Business Finance Limited,Financial Services,NBFC,13927,471.85,295157359.3,20
NSE:KIRLOSBROS-EQ,KIRLOSBROS,Kirloskar Brothers Limited,Capital Goods,Pumps,13998,1764.3,79340248.26,20
NSE:AGARWALEYE-EQ,AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,Hospitals,14044,444.05,316270690.2,20
NSE:TBOTEK-EQ,TBOTEK,TBO Tek Limited,Consumer Services,Tour & Travel services,14050,1293.8,108594836.9,20
NSE:CANHLIFE-EQ,CANHLIFE,Canara HSBC Life Insurance Company Limited,Financial Services,Life Insurance,14229,149.73,950310559,20
NSE:SCI-EQ,SCI,Shipping Corporation Of India Limited,Capital Goods,Ship building & Allied services,14234,305.87,465361101.1,20
NSE:ARE&M-EQ,ARE&M,Amara Raja Energy & Mobility Limited,Auto,Auto Ancilaries,14250,778.55,183032560.5,20
NSE:SOBHA-EQ,SOBHA,Sobha Limited,Realty,Real Estate,14260,1332.2,107040984.8,20
NSE:THELEELA-EQ,THELEELA,Schloss Bangalore Limited,Consumer Services,Hotels,14266,426.9,334176622.2,10
NSE:TECHNOE-EQ,TECHNOE,Techno Electric & Engineering Company Limited,Construction,Civil Construction,14340,1234.25,116183917.4,20
NSE:VGUARD-EQ,VGUARD,V-Guard Industries Limited,Capital Goods,Electrical - Power Equipment,14368,328.85,436916527.3,20
NSE:FINCABLES-EQ,FINCABLES,Finolex Cables Limited,Capital Goods,Cables - Electricals,14383,940.55,152921163.1,20
NSE:J&KBANK-EQ,J&KBANK,The Jammu & Kashmir Bank Limited,Financial Services,Private Banks,14449,131.25,1100876190,20
NSE:DOMS-EQ,DOMS,DOMS Industries Limited,FMCG,Stationary,14519,2391.5,60710850.93,20
NSE:JUBLPHARMA-EQ,JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,Medical-Diversified,14539,910.9,159611373.4,20
NSE:CCL-EQ,CCL,CCL Products (India) Limited,FMCG,Tea & Coffee,14541,1089.4,133477143.4,20
NSE:IRCON-EQ,IRCON,Ircon International Limited,Capital Goods,Railways,14545,154.69,940267632,20
NSE:SPLPETRO-EQ,SPLPETRO,Supreme Petrochem Limited,Chemicals,Petrochemicals,14547,774.8,187751677.9,20
NSE:JAINREC-EQ,JAINREC,Jain Resource Recycling Limited,Metals & Mining,Metal Fabrication,14547,421,345534441.8,20
NSE:GABRIEL-EQ,GABRIEL,Gabriel India Limited,Auto,Auto Ancilaries,14556,1014.35,143500764,20
NSE:ZENTEC-EQ,ZENTEC,Zen Technologies Limited,Capital Goods,Aerospace & Defense,14581,1616.5,90201051.65,20
NSE:HFCL-EQ,HFCL,HFCL Limited,Telecommunication,Telecom - Infrastructure,14614,95.49,1530422034,20
NSE:ANURAS-EQ,ANURAS,Anupam Rasayan India Limited,Chemicals,Chemicals Specialty,14645,1288,113703416.1,20
NSE:LTFOODS-EQ,LTFOODS,LT Foods Limited,FMCG,Food Products,14652,422,347203791.5,20
NSE:BEML-EQ,BEML,BEML Limited,Capital Goods,Industrial Products & Manufacturing,14760,1772.4,83276912.66,20
NSE:JBMA-EQ,JBMA,JBM Auto Limited,Auto,Auto Ancilaries,14765,624.2,236542774.8,20
NSE:NIVABUPA-EQ,NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,General Insurance,14805,80.11,1848083885,20
NSE:RUBICON-EQ,RUBICON,Rubicon Research Limited,Healthcare,Pharmaceuticals,14811,898.9,164768049.8,20
NSE:SANSERA-EQ,SANSERA,Sansera Engineering Limited,Auto,Auto Ancilaries,14829,2378.3,62351259.3,20
NSE:POLYMED-EQ,POLYMED,Poly Medicure Limited,Healthcare,Medical Equipment & Supplies,14871,1467.4,101342510.6,20
NSE:COHANCE-EQ,COHANCE,Suven Pharmaceuticals Limited,Healthcare,Pharmaceuticals,14928,390.55,382230188.2,20
NSE:MTARTECH-EQ,MTARTECH,Mtar Technologies Limited,Capital Goods,Aerospace & Defense,14947,4857.8,30769072.42,20
NSE:MAHSCOOTER-EQ,MAHSCOOTER,Maharashtra Scooters Limited,Auto,Auto Ancilaries,14998,13116,11434888.69,20
NSE:CEATLTD-EQ,CEATLTD,CEAT Limited,Auto,Tyres & Rubber Products,15018,3716.1,40413336.56,20
NSE:JINDALSAW-EQ,JINDALSAW,Jindal Saw Limited,Metals & Mining,Iron & Steel,15118,236.28,639834095.1,20
NSE:GSPL-EQ,GSPL,Gujarat State Petronet Limited,"Oil, Gas & Consumable fuels",Gas Distribution,15341,272.41,563158474.4,20
NSE:ECLERX-EQ,ECLERX,eClerx Services Limited,Information Technology,Software Services,15354,1631.1,94132793.82,20
NSE:EIDPARRY-EQ,EIDPARRY,EID Parry India Limited,FMCG,Sugar,15379,865.15,177761081.9,20
NSE:APLLTD-EQ,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Pharmaceuticals,15412,784.75,196393756,20
NSE:KEC-EQ,KEC,KEC International Limited,Construction,Civil Construction,15446,580.05,266287389,20
NSE:CHENNPETRO-EQ,CHENNPETRO,Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable fuels",Oil & Gas-Refining & Marketing,15519,1041.85,148956183.7,20
NSE:DEEPAKFERT-EQ,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Fertilizers,15531,1230.35,126232372.9,20
NSE:TDPOWERSYS-EQ,TDPOWERSYS,TD Power Systems Limited,Capital Goods,Electrical - Power Equipment,15571,996.9,156194202,20
NSE:AETHER-EQ,AETHER,Aether Industries Limited,Chemicals,Chemicals Specialty,15648,1179.8,132632649.6,20
NSE:ZYDUSWELL-EQ,ZYDUSWELL,Zydus Wellness Limited,FMCG,Food Products,15857,499.25,317616424.6,20
NSE:ABREL-EQ,ABREL,Aditya Birla Real Estate Limited,Forest Materials,Paper & Paper Products,15863,1420.4,111679808.5,20
NSE:AARTIIND-EQ,AARTIIND,Aarti Industries Limited,Chemicals,Chemicals Specialty,15981,440.85,362504253.1,20
NSE:PGEL-EQ,PGEL,PG Electroplast Limited,Capital Goods,EMS,16024,561.4,285429283.9,No Band
NSE:ABDL-EQ,ABDL,Allied Blenders and Distillers Limited,FMCG,Breweries & Distilleries,16037,573.8,279487626.4,5
NSE:JYOTICNC-EQ,JYOTICNC,Jyoti CNC Automation Limited,Capital Goods,Industrial Products & Manufacturing,16086,707.3,227428248.3,20
NSE:IGIL-EQ,IGIL,International Gemmological Institute (India) Limited,Financial Services,Financial Services-Specialty,16104,372.85,431916320.2,10
NSE:CHOICEIN-EQ,CHOICEIN,Choice International Limited,Financial Services,Investment Banking & Broking,16133,724.8,222585540.8,20
NSE:VTL-EQ,VTL,Vardhman Textiles Limited,Textiles,Textiles,16140,557.6,289454806.3,20
NSE:GRANULES-EQ,GRANULES,Granules India Limited,Healthcare,Medical-Diversified,16253,655.7,247872502.7,20
NSE:KANSAINER-EQ,KANSAINER,Kansai Nerolac Paints Limited,Consumer Durables,Paints,16378,203.09,806440494.4,20
NSE:TRITURBINE-EQ,TRITURBINE,Triveni Turbine Limited,Capital Goods,Electrical Miscallaneous,16380,515.45,317780580.1,20
NSE:SHRIPISTON-EQ,SHRIPISTON,Shriram Pistons & Rings Limited,Auto,Auto Ancilaries,16448,3735.8,44028052.89,20
NSE:IFCI-EQ,IFCI,IFCI Limited,Financial Services,NBFC,16500,61.19,2696519039,20
NSE:BIKAJI-EQ,BIKAJI,Bikaji Foods International Limited,FMCG,Food Products,16565,660.05,250965835.9,20
NSE:RRKABEL-EQ,RRKABEL,R R Kabel Limited,Capital Goods,Cables - Electricals,16704,1475.6,113201409.6,20
NSE:CROMPTON-EQ,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Durables,Household Appliances,16833,261.45,643832472.7,No Band
NSE:KSB-EQ,KSB,Ksb Limited,Capital Goods,Pumps,16838,968.2,173910349.1,20
NSE:KFINTECH-EQ,KFINTECH,Kfin Technologies Limited,Financial Services,Finance & Investment,16839,976,172530737.7,No Band
NSE:INOXWIND-EQ,INOXWIND,Inox Wind Limited,Power,Energy-Alternative,16908,97.9,1727068437,No Band
NSE:FSL-EQ,FSL,Firstsource Solutions Limited,Information Technology,Software Services,16922,239.28,707204948.2,20
NSE:CENTURYPLY-EQ,CENTURYPLY,Century Plyboards (India) Limited,Forest Materials,Wood Products,16930,762.15,222134750.4,20
NSE:CHALET-EQ,CHALET,Chalet Hotels Limited,Consumer Services,Hotels,17074,779.95,218911468.7,20
NSE:JSWCEMENT-EQ,JSWCEMENT,JSW Cement Limited,Construction,Cement,17157,125.88,1362964728,20
NSE:TRAVELFOOD-EQ,TRAVELFOOD,Travel Food Services Limited,Consumer Services,Restaurants,17281,1310.9,131825463.4,10
