Fyers_Symbol,Stock Name,Company Name,Sector,Basic Industry,Market Cap(Cr.),Stock Price,No OF  SHARE,Circuit Limit
NSE:ELGIEQUIP-EQ,ELGIEQUIP,Elgi Equipments Limited,Capital Goods,Industrial Products & Manufacturing,17399,549.15,316835108.8,20
NSE:CGCL-EQ,CGCL,Capri Global Capital Limited,Financial Services,NBFC,17484,182.13,959973645.2,20
NSE:SYNGENE-EQ,SYNGENE,Syngene International Limited,Healthcare,Healthcare Research Analytics & Technology,17592,436.6,402931745.3,20
NSE:ONESOURCE-EQ,ONESOURCE,Onesource Specialty Pharma Limited,Healthcare,Pharmaceuticals,17695,1543.5,114642047.3,20
NSE:SAMMAANCAP-EQ,SAMMAANCAP,Sammaan Capital Limited,Financial Services,Housing Finance,17900,154.53,1158351129,No Band
NSE:CARBORUNIV-EQ,CARBORUNIV,Carborundum Universal Limited,Capital Goods,Industrial Products & Manufacturing,17970,940.1,191149877.7,20
NSE:OLAELEC-EQ,OLAELEC,Ola Electric Mobility Limited,Auto,Auto Manufacturers,18009,40.82,4411807937,10
NSE:CASTROLIND-EQ,CASTROLIND,Castrol India Limited,"Oil, Gas & Consumable fuels",Lubricants,18011,182.27,988149448.6,20
NSE:TATACHEM-EQ,TATACHEM,Tata Chemicals Limited,Chemicals,Chemicals Specialty,18056,709.05,254650588.8,20
NSE:CHAMBLFERT-EQ,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Chemicals,Fertilizers,18207,454.45,400638134,20
NSE:REDINGTON-EQ,REDINGTON,Redington Limited,Information Technology,Computer Hardware,18328,234.67,781011633.4,20
NSE:CRAFTSMAN-EQ,CRAFTSMAN,Craftsman Automation Limited,Capital Goods,Industrial Products & Manufacturing,18351,7691,23860356.26,20
NSE:EMMVEE-EQ,EMMVEE,Emmvee Photovoltaic Power Limited,Capital Goods,Electrical - Power Equipment,18387,265.54,692438050.8,10
NSE:ACMESOLAR-EQ,ACMESOLAR,Acme Solar Holdings Limited,Power,Power Generation & Distribution,18464,304.65,606072542.3,10
NSE:ANANTRAJ-EQ,ANANTRAJ,Anant Raj Limited,Realty,Real Estate,18488,513.4,360109076.7,20
NSE:CAMS-EQ,CAMS,Computer Age Management Services Limited,Financial Services,Finance & Investment,18610,750.15,248083716.6,No Band
NSE:CIEINDIA-EQ,CIEINDIA,CIE Automotive India Limited,Auto,Auto Ancilaries,18613,490.2,379702162.4,20
NSE:BRIGADE-EQ,BRIGADE,Brigade Enterprises Limited,Realty,Real Estate,18639,762.25,244526074.1,20
NSE:KAJARIACER-EQ,KAJARIACER,Kajaria Ceramics Limited,Construction,Construction Products Miscallaneous,18785,1178.35,159417830,20
NSE:SYRMA-EQ,SYRMA,Syrma SGS Technology Limited,Capital Goods,EMS,18856,978.1,192781924.1,20
NSE:BELRISE-EQ,BELRISE,Belrise Industries Limited,Auto,Auto Ancilaries,19047,214.1,889631013.5,20
NSE:DCMSHRIRAM-EQ,DCMSHRIRAM,DCM Shriram Limited,Chemicals,Chemicals Specialty,19120,1226.1,155941603.5,20
NSE:CUB-EQ,CUB,City Union Bank Limited,Financial Services,Private Banks,19166,257.82,743386859,20
NSE:ACUTAAS-EQ,ACUTAAS,Ami Organics Limited,Chemicals,Chemicals Specialty,19292,2361.7,81686920.44,20
NSE:ATUL-EQ,ATUL,Atul Limited,Chemicals,Chemicals Specialty,19437,6600,29450000,20
NSE:RBLBANK-EQ,RBLBANK,RBL Bank Limited,Financial Services,Private Banks,19505,315.55,618127079.7,No Band
NSE:DATAPATTNS-EQ,DATAPATTNS,Data Patterns (India) Limited,Capital Goods,Aerospace & Defense,19565,3494.2,55992788.05,20
NSE:NEULANDLAB-EQ,NEULANDLAB,Neuland Laboratories Limited,Healthcare,Medical-Diversified,19643,15295,12842759.07,20
NSE:EMAMILTD-EQ,EMAMILTD,Emami Limited,FMCG,Personal Care,19713,452.1,436031851.4,20
NSE:PPLPHARMA-EQ,PPLPHARMA,Piramal Pharma Limited,Healthcare,Medical-Diversified,19792,148.85,1329660732,No Band
NSE:NAVA-EQ,NAVA,NAVA LIMITED,Diversified,Diversified Operations,19893,703.1,282932726.5,20
NSE:ERIS-EQ,ERIS,Eris Lifesciences Limited,Healthcare,Biotechnology,20027,1445.5,138547215.5,20
NSE:NATCOPHARM-EQ,NATCOPHARM,Natco Pharma Limited,Healthcare,Medical-Diversified,20038,1119.7,178958649.6,20
NSE:AVANTIFEED-EQ,AVANTIFEED,Avanti Feeds Limited,FMCG,Agro Products,20074,1473.3,136251951.4,20
NSE:SAGILITY-EQ,SAGILITY,Sagility India Limited,Information Technology,Software Services,20101,42.93,4682273468,20
NSE:EIHOTEL-EQ,EIHOTEL,EIH Limited,Consumer Services,Hotels,20133,321.9,625442684.1,20
NSE:IIFL-EQ,IIFL,IIFL Finance Limited,Financial Services,NBFC,20135,473.35,425372346,20
NSE:CREDITACC-EQ,CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,NBFC,20301,1264.8,160507590.1,20
NSE:GESHIP-EQ,GESHIP,The Great Eastern Shipping Company Limited,Capital Goods,Ship building & Allied services,20336,1424.3,142778908.9,20
NSE:GALLANTT-EQ,GALLANTT,Gallantt Ispat Limited,Metals & Mining,Iron & Steel,20423,853.45,239299314.5,10
NSE:GPIL-EQ,GPIL,Godawari Power And Ispat limited,Metals & Mining,Iron & Steel,20499,305.55,670888561.6,20
NSE:KPITTECH-EQ,KPITTECH,KPIT Technologies Limited,Information Technology,Software Services,20499,747.8,274124097.4,No Band
NSE:SAILIFE-EQ,SAILIFE,Sai Life Sciences Limited,Healthcare,Pharmaceuticals,20575,971.05,211884043,20
NSE:URBANCO-EQ,URBANCO,Urban Company Limited,Services,Diversified Commercial Services,20608,133.61,1542399521,20
NSE:AFFLE-EQ,AFFLE,Affle (India) Limited,Media Entertainment & Publication,Advertising,20687,1468.2,140900422.3,20
NSE:DEEPAKNTR-EQ,DEEPAKNTR,Deepak Nitrite Limited,Chemicals,Chemicals Specialty,20960,1538.1,136272023.9,20
NSE:SARDAEN-EQ,SARDAEN,Sarda Energy & Minerals Limited,Metals & Mining,Iron & Steel,20963,595.5,352023509.7,20
NSE:KPIL-EQ,KPIL,Kalpataru Projects International Limited,Construction,Civil Construction,21006,1231.7,170544775.5,20
NSE:AADHARHFC-EQ,AADHARHFC,Aadhar Housing Finance Limited,Financial Services,Housing Finance,21652,496.45,436136569.6,10
NSE:NETWEB-EQ,NETWEB,Netweb Technologies India Limited,Information Technology,Software Services,21696,3809,56959831.98,20
NSE:ASAHIINDIA-EQ,ASAHIINDIA,Asahi India Glass Limited,Auto,Auto Ancilaries,21698,851.25,254895741.6,20
NSE:HBLENGINE-EQ,HBLENGINE,HBL Engineering Limited,Capital Goods,Electrical - Power Equipment,21802,786.5,277202797.2,20
NSE:BAYERCROP-EQ,BAYERCROP,Bayer Cropscience Limited,Chemicals,Agro chemicals,22003,4898.2,44920583.07,20
NSE:SUMICHEM-EQ,SUMICHEM,Sumitomo Chemical India Limited,Chemicals,Agro chemicals,22009,442.4,497490958.4,20
NSE:AEGISVOPAK-EQ,AEGISVOPAK,Aegis Vopak Terminals Limited,"Oil, Gas & Consumable fuels",Oil & Gas-Integrated,22239,200.76,1107740586,10
NSE:PINELABS-EQ,PINELABS,Pine Labs Limited,Financial Services,Financial Services-Specialty,22255,193.53,1149950912,20
NSE:PFIZER-EQ,PFIZER,Pfizer Limited,Healthcare,Medical-Diversified,22647,4960.7,45652831.25,20
NSE:WOCKPHARMA-EQ,WOCKPHARMA,Wockhardt Limited,Healthcare,Pharmaceuticals,22672,1395.3,162488353.8,20
NSE:CESC-EQ,CESC,CESC Limited,Power,Power Generation & Distribution,22716,171.49,1324625343,20
NSE:MANAPPURAM-EQ,MANAPPURAM,Manappuram Finance Limited,Financial Services,NBFC,22760,268.9,846411305.3,No Band
NSE:GMDCLTD-EQ,GMDCLTD,Gujarat Mineral Development Corporation Limited,Metals & Mining,Mining/Minerals,23425,736.9,317885737.5,20
NSE:LALPATHLAB-EQ,LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,Medical Diagnostics,23477,1402.1,167441694.6,20
NSE:KIRLOSENG-EQ,KIRLOSENG,Kirloskar Oil Engines Limited,Capital Goods,Industrial Products & Manufacturing,23555,1618.4,145544982.7,20
NSE:PTCIL-EQ,PTCIL,PTC Industries Limited,Metals & Mining,Iron & Steel,23585,15703,15019423.04,20
NSE:IGL-EQ,IGL,Indraprastha Gas Limited,"Oil, Gas & Consumable fuels",Gas Distribution,23690,169.27,1399539198,20
NSE:TENNIND-EQ,TENNIND,Tenneco Clean Air India Limited,Auto,Auto Ancilaries,23895,591.7,403836403.6,20
NSE:RAMCOCEM-EQ,RAMCOCEM,The Ramco Cements Limited,Construction,Cement,23908,1011.05,236467039.2,20
NSE:TATATECH-EQ,TATATECH,Tata Technologies Limited,Information Technology,Consulting Services,23922,589.3,405939250,No Band
NSE:AWL-EQ,AWL,AWL Agri Business Limited,FMCG,Personal Care,24050,185.01,1299929734,20
NSE:PNBHOUSING-EQ,PNBHOUSING,PNB Housing Finance Limited,Financial Services,Housing Finance,24081,923.7,260701526.5,No Band
NSE:SHYAMMETL-EQ,SHYAMMETL,Shyam Metalics and Energy Limited,Metals & Mining,Iron & Steel,24153,864.2,279483915.8,20
NSE:SCHNEIDER-EQ,SCHNEIDER,Schneider Electric Infrastructure Limited,Capital Goods,Electrical - Power Equipment,24875,1036.05,240094590,5
NSE:AEGISLOG-EQ,AEGISLOG,Aegis Logistics Limited,Services,Logistics,24877,709.3,350726068,20
NSE:HSCL-EQ,HSCL,Himadri Speciality Chemical Limited,Chemicals,Chemicals Specialty,24886,493.55,504224496,20
NSE:SUNTV-EQ,SUNTV,Sun TV Network Limited,Media Entertainment & Publication,TV Broadcasting & Software,25337,643.25,393890400.3,20
NSE:NBCC-EQ,NBCC,NBCC (India) Limited,Construction,Civil Construction,25455,94.32,2698791349,No Band
NSE:NUVAMA-EQ,NUVAMA,Nuvama Wealth Management Limited,Financial Services,Finance & Investment,25489,1400.7,181973299.1,No Band
NSE:IKS-EQ,IKS,Inventurus Knowledge Solutions Limited,Information Technology,Software Services,25733,1499,171667778.5,20
NSE:GILLETTE-EQ,GILLETTE,Gillette India Limited,FMCG,Personal Care,25881,7939.5,32597770.64,20
NSE:MSUMI-EQ,MSUMI,Motherson Sumi Wiring India Limited,Capital Goods,Electrical - Power Equipment,26208,39.52,6631578947,20
NSE:TIMKEN-EQ,TIMKEN,Timken India Limited,Capital Goods,Industrial Products & Manufacturing,26387,3506.6,75249529.46,20
NSE:CPPLUS-EQ,CPPLUS,Aditya Infotech Limited,Capital Goods,Industrial Products & Manufacturing,26653,2264.3,117709667.4,10
NSE:PFOCUS-EQ,PFOCUS,Prime Focus Limited,Media Entertainment & Publication,Media & Entertainment,26817,345.05,777191711.3,20
NSE:KARURVYSYA-EQ,KARURVYSYA,Karur Vysya Bank Limited,Financial Services,Private Banks,26854,277.55,967537380.7,20
NSE:IRB-EQ,IRB,IRB Infrastructure Developers Limited,Construction,Civil Construction,26873,22.26,12072327044,20
NSE:ACC-EQ,ACC,ACC Limited,Construction,Cement,26893,1432.2,187774053.9,20
NSE:KIMS-EQ,KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,Hospitals,27295,682.15,400131935.8,20
NSE:ZFCVINDIA-EQ,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Auto,Auto Ancilaries,27500,14500,18965517.24,20
NSE:NIACL-EQ,NIACL,The New India Assurance Company Limited,Financial Services,General Insurance,27621,167.34,1650591610,20
NSE:AMBER-EQ,AMBER,Amber Enterprises India Limited,Capital Goods,EMS,28018,7958.5,35205126.59,No Band
NSE:EXIDEIND-EQ,EXIDEIND,Exide Industries Limited,Auto,Auto Ancilaries,28045,330,849848484.8,No Band
NSE:BANDHANBNK-EQ,BANDHANBNK,Bandhan Bank Limited,Financial Services,Private Banks,28095,174.47,1610305497,No Band
NSE:KAYNES-EQ,KAYNES,Kaynes Technology India Limited,Capital Goods,EMS,28233,4214.4,66991742.6,No Band
NSE:APOLLOTYRE-EQ,APOLLOTYRE,Apollo Tyres Limited,Auto,Tyres & Rubber Products,28281,445.4,634957341.7,20
NSE:WELCORP-EQ,WELCORP,Welspun Corp Limited,Metals & Mining,Iron & Steel,28412,1077.15,263770134.2,20
NSE:TATAELXSI-EQ,TATAELXSI,Tata Elxsi Limited,Information Technology,Software Products,28607,4592.5,62290691.34,No Band
NSE:ITI-EQ,ITI,ITI Limited,Telecommunication,Telecom - Equipment & Accessories,28616,297.33,962432314.3,20
NSE:HONAUT-EQ,HONAUT,Honeywell Automation India Limited,Capital Goods,Electrical Miscallaneous,29026,32785,8853439.073,20
NSE:CDSL-EQ,CDSL,Central Depository Services (India) Limited,Financial Services,Financial Services-Specialty,29117,1393.2,208993683.6,No Band
NSE:MEDANTA-EQ,MEDANTA,Global Health Limited,Healthcare,Hospitals,29235,1089.4,268358729.6,20
NSE:ANGELONE-EQ,ANGELONE,Angel One Limited,Financial Services,Investment Banking & Broking,29393,322.47,911495643,No Band
NSE:FORCEMOT-EQ,FORCEMOT,FORCE MOTORS LTD,Auto,Auto Manufacturers,29480,22378,13173652.69,No Band
NSE:GODIGIT-EQ,GODIGIT,Go Digit General Insurance Limited,Financial Services,General Insurance,29523,319.25,924761159,20
NSE:GLAND-EQ,GLAND,Gland Pharma Limited,Healthcare,Pharmaceuticals,29606,1797.4,164715700.5,20
NSE:STARHEALTH-EQ,STARHEALTH,Star Health and Allied Insurance Company Limited,Financial Services,General Insurance,29629,503.35,588636137.9,20
NSE:LICHSGFIN-EQ,LICHSGFIN,LIC Housing Finance Limited,Financial Services,Housing Finance,29703,540,550055555.6,No Band
NSE:HEXT-EQ,HEXT,Hexaware Technologies Limited,Information Technology,Software Services,30239,495.1,610765501.9,20
NSE:JUBLFOOD-EQ,JUBLFOOD,Jubilant Foodworks Limited,Consumer Services,Restaurants,30303,458.95,660268003.1,No Band
NSE:ANANDRATHI-EQ,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Finance & Investment,30663,3689.8,83102065.15,20
NSE:CHOLAHLDNG-EQ,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Housing Finance,30792,1641.1,187630248,20
NSE:SJVN-EQ,SJVN,SJVN Limited,Power,Energy-Alternative,30859,78.62,3925082676,20
NSE:ABSLAMC-EQ,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,30879,1068.25,289061549.3,20
NSE:PWL-EQ,PWL,Physicswallah Limited,Consumer Services,Education Services,30961,108.32,2858290251,20
NSE:GRSE-EQ,GRSE,Garden Reach Shipbuilders & Engineers Limited,Capital Goods,Ship building & Allied services,31058,2712,114520649,20
NSE:GODREJIND-EQ,GODREJIND,Godrej Industries Limited,Diversified,Diversified Operations,31255,927.5,336981132.1,20
NSE:KPRMILL-EQ,KPRMILL,K.P.R. Mill Limited,Textiles,Textiles,31683,927.7,341522043.8,20
NSE:EMCURE-EQ,EMCURE,Emcure Pharmaceuticals Limited,Healthcare,Pharmaceuticals,31712,1672.1,189653728.8,10
NSE:CRISIL-EQ,CRISIL,CRISIL Limited,Financial Services,Credit Rating Agencies,31793,4335.4,73333487.11,20
NSE:JBCHEPHARM-EQ,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Healthcare,Medical-Diversified,32084,1998,160580580.6,20
NSE:MRPL-EQ,MRPL,Mangalore Refinery and Petrochemicals Limited,"Oil, Gas & Consumable fuels",Oil & Gas-Refining & Marketing,32091,183.13,1752361710,20
NSE:NAVINFLUOR-EQ,NAVINFLUOR,Navin Fluorine International Limited,Chemicals,Chemicals Specialty,32222,6284,51276257.16,20
NSE:ATHERENERG-EQ,ATHERENERG,Ather Energy Limited,Auto,Auto Manufacturers,32580,850.95,382866208.4,20
NSE:CENTRALBK-EQ,CENTRALBK,Central Bank of India,Financial Services,PSU Banks,32630,36.06,9048807543,20
NSE:ENDURANCE-EQ,ENDURANCE,Endurance Technologies Limited,Auto,Auto Ancilaries,33463,2384.4,140341385.7,20
NSE:UCOBANK-EQ,UCOBANK,UCO Bank,Financial Services,PSU Banks,33568,26.77,12539409787,20
NSE:ITCHOTELS-EQ,ITCHOTELS,ITC Hotels Limited,Consumer Services,Hotels,33867,162.52,2083866601,20
NSE:GODFRYPHLP-EQ,GODFRYPHLP,Godfrey Phillips India Limited,FMCG,Tobacco,34420,2207.7,155908864.4,No Band
NSE:DELHIVERY-EQ,DELHIVERY,Delhivery Limited,Services,Logistics,34657,463,748531317.5,No Band
NSE:AJANTPHARM-EQ,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Pharmaceuticals,34853,2790.2,124912192.7,20
NSE:3MINDIA-EQ,3MINDIA,3M India Limited,Diversified,Diversified Operations,35359,31410,11257242.92,20
NSE:ASTERDM-EQ,ASTERDM,Aster DM Healthcare Limited,Healthcare,Hospitals,35612,688.15,517503451.3,20
NSE:TATAINVEST-EQ,TATAINVEST,Tata Investment Corporation Limited,Financial Services,Finance & Investment,36069,712.65,506125026.3,20
NSE:POONAWALLA-EQ,POONAWALLA,Poonawalla Fincorp Limited,Financial Services,NBFC,36411,413.75,880024169.2,20
NSE:ESCORTS-EQ,ESCORTS,Escorts Kubota Limited,Capital Goods,Industrial Products & Manufacturing,36830,3295,111775417.3,20
NSE:FLUOROCHEM-EQ,FLUOROCHEM,Gujarat Fluorochemicals Limited,Chemicals,Chemicals Specialty,36908,3354.8,110015500.2,20
NSE:SONACOMS-EQ,SONACOMS,Sona BLW Precision Forgings Limited,Auto,Auto Ancilaries,36922,593.85,621739496.5,No Band
NSE:AIAENG-EQ,AIAENG,AIA Engineering Limited,Metals & Mining,Iron & Steel,36979,3961.5,93345954.82,20
NSE:LTTS-EQ,LTTS,L&T Technology Services Limited,Information Technology,Software Services,36985,3490.1,105971175.6,20
NSE:DALBHARAT-EQ,DALBHARAT,Dalmia Bharat Limited,Construction,Cement,37008,1971.7,187695896.9,No Band
NSE:IPCALAB-EQ,IPCALAB,IPCA Laboratories Limited,Healthcare,Pharmaceuticals,37255,1468.3,253728802,20
NSE:IREDA-EQ,IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,NBFC,37374,133.01,2809863920,No Band
NSE:NH-EQ,NH,Narayana Hrudayalaya Ltd.,Healthcare,Hospitals,37485,1826.1,205273533.8,20
NSE:PIRAMALFIN-EQ,PIRAMALFIN,Piramal Finance Limited,Financial Services,Housing Finance,37985,1675.3,226735510.1,20
NSE:CONCOR-EQ,CONCOR,Container Corporation of India Limited,Services,Logistics,38332,503.1,761916120.1,No Band
NSE:BLUESTARCO-EQ,BLUESTARCO,Blue Star Limited,Consumer Durables,Household Appliances,38383,1866.1,205685654.6,No Band
NSE:AIIL-EQ,AIIL,Authum Investment & Infrastructure Limited,Financial Services,NBFC,39064,460.05,849125095.1,20
NSE:HUDCO-EQ,HUDCO,Housing & Urban Development Corporation Limited,Financial Services,Housing Finance,39423,196.91,2002082170,No Band
NSE:UBL-EQ,UBL,United Breweries Limited,FMCG,Breweries & Distilleries,39492,1493.6,264408141.4,20
NSE:ANTHEM-EQ,ANTHEM,Anthem Biosciences Limited,Healthcare,Pharmaceuticals,40538,721.1,562168908.6,20
NSE:PETRONET-EQ,PETRONET,Petronet LNG Limited,"Oil, Gas & Consumable fuels",Oil & Gas-Refining & Marketing,40973,273.22,1499633995,No Band
NSE:COCHINSHIP-EQ,COCHINSHIP,Cochin Shipyard Limited,Capital Goods,Ship building & Allied services,41140,1561.1,263532124.8,No Band
NSE:GLAXO-EQ,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Medical-Diversified,41582,2453.9,169452707.9,20
NSE:NLCINDIA-EQ,NLCINDIA,NLC India Limited,Power,Power Generation & Distribution,41591,300.65,1383369366,20
NSE:M&MFIN-EQ,M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,NBFC,41608,299.35,1389944881,20
NSE:PAGEIND-EQ,PAGEIND,Page Industries Limited,Textiles,Textiles,42366,37975,11156287.03,No Band
NSE:RADICO-EQ,RADICO,Radico Khaitan Limited,FMCG,Breweries & Distilleries,42681,3186.9,133926386.1,20
NSE:JKCEMENT-EQ,JKCEMENT,JK Cement Limited,Construction,Cement,42846,5543,77297492.33,20
NSE:ASTRAL-EQ,ASTRAL,Astral Limited,Construction,Construction Products Miscallaneous,43115,1605,268629283.5,No Band
NSE:TATACOMM-EQ,TATACOMM,Tata Communications Limited,Telecommunication,Telecom - Cellular & Fixed line services,43324,1521.1,284820195.9,20
NSE:KALYANKJIL-EQ,KALYANKJIL,Kalyan Jewellers India Limited,Consumer Durables,Jewellery,44097,426.85,1033079536,No Band
NSE:COFORGE-EQ,COFORGE,Coforge Limited,Information Technology,Software Services,44238,1316.8,335950789.8,No Band
NSE:BALKRISIND-EQ,BALKRISIND,Balkrishna Industries Limited,Auto,Tyres & Rubber Products,45012,2329.8,193201133.1,20
NSE:360ONE-EQ,360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,45181,1113.3,405829515.9,No Band
NSE:IRCTC-EQ,IRCTC,Indian Railway Catering And Tourism Corporation Limited,Consumer Services,Tour & Travel services,45192,564.9,800000000,20
NSE:APARINDS-EQ,APARINDS,Apar Industries Limited,Capital Goods,Electrical - Power Equipment,46112,11482,40160250.83,20
NSE:KEI-EQ,KEI,KEI Industries Limited,Capital Goods,Cables - Electricals,46233,4839.3,95536544.54,No Band
NSE:PREMIERENE-EQ,PREMIERENE,Premier Energies Limited,Capital Goods,Electrical - Power Equipment,46915,1034.6,453460274.5,No Band
NSE:MPHASIS-EQ,MPHASIS,MphasiS Limited,Information Technology,Software Services,46969,2462.2,190760295.7,No Band
NSE:SUPREMEIND-EQ,SUPREMEIND,Supreme Industries Limited,Chemicals,Chemicals-Plastics,47136,3709,127085467.8,No Band
NSE:PIIND-EQ,PIIND,PI Industries Limited,Chemicals,Agro chemicals,47598,3139.7,151600471.4,No Band
NSE:VOLTAS-EQ,VOLTAS,Voltas Limited,Consumer Durables,Household Appliances,47643,1440.1,330831192.3,No Band
NSE:MOTILALOFS-EQ,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Investment Banking & Broking,49132,815.45,602513949.4,No Band
NSE:THERMAX-EQ,THERMAX,Thermax Limited,Capital Goods,Industrial Products & Manufacturing,49424,4141.4,119341285.6,20
NSE:BDL-EQ,BDL,Bharat Dynamics Limited,Capital Goods,Aerospace & Defense,50609,1380.7,366545955,No Band
NSE:PATANJALI-EQ,PATANJALI,Patanjali Foods Limited,FMCG,Food Products,50912,468.3,1087166346,No Band
NSE:GODREJPROP-EQ,GODREJPROP,Godrej Properties Limited,Realty,Real Estate,52973,1758.8,301188310.2,No Band
NSE:TIINDIA-EQ,TIINDIA,Tube Investments of India Limited,Auto,Auto Ancilaries,53942,2790.2,193326643.3,No Band
NSE:BERGEPAINT-EQ,BERGEPAINT,Berger Paints (I) Limited,Consumer Durables,Paints,54575,468.6,1164639351,20
NSE:ABBOTINDIA-EQ,ABBOTINDIA,Abbott India Limited,Healthcare,Medical-Diversified,54788,25785,21248012.41,20
NSE:HINDCOPPER-EQ,HINDCOPPER,Hindustan Copper Limited,Metals & Mining,Mining/Minerals,55086,569.6,967099719.1,20
NSE:VMM-EQ,VMM,Vishal Mega Mart Limited,Consumer Services,Diversified Retail,55611,118.95,4675157629,No Band
NSE:SUNDARMFIN-EQ,SUNDARMFIN,Sundaram Finance Limited,Financial Services,Housing Finance,55829,5028.8,111018533.2,20
NSE:MAHABANK-EQ,MAHABANK,Bank of Maharashtra,Financial Services,PSU Banks,55948,72.73,7692561529,20
NSE:UPL-EQ,UPL,UPL Limited,Chemicals,Agro chemicals,56124,664.7,844350835,No Band
NSE:HDBFS-EQ,HDBFS,HDB Financial Services Limited,Financial Services,Finance & Investment,56603,682,829956011.7,20
NSE:COLPAL-EQ,COLPAL,Colgate Palmolive (India) Limited,FMCG,Personal Care,57259,2106,271885090.2,No Band
